Unnamed: 0,imdb_id,startYear,originalTitle,runtimeMinutes,one_genre,genres1,genres2,genres3,tags,mood_tags,youtube_id,split
166,tt0070511,1973,Papillon,151,Drama,Biography,Crime,Drama,"violence, cult, boring, romantic","violence, boring, romantic",EW8Uk-34Sn4,train
167,tt0070608,1973,Robin Hood,83,Action,Adventure > Action,Animation,Comedy,"good versus evil, action",action,2ZhaygpiQlk,train
168,tt0070666,1973,Serpico,130,Crime,Biography,Crime,Drama,"dark, neo noir, violence, atmospheric, flashback, romantic","dark, violence, atmospheric, romantic",3lahDbYMz5o,train
169,tt0070698,1972,Sisters,93,Horror,Horror,Mystery,Thriller,"avant garde, murder, paranormal, cult, good versus evil, insanity, satire, claustrophobic",,XvsixXqC-gM,train
171,tt0071110,1974,Airport 1975,107,Action,Action,Drama,Thriller,suspenseful,suspenseful,h-l3wzkCwiU,train
172,tt0071129,1973,Amarcord,123,Drama,Comedy,Drama,,"cult, flashback, psychedelic, humor, satire, prank",humor,W5PsIpaRIFs,train
173,tt0071230,1974,Blazing Saddles,93,Comedy,Comedy,Western,,"comedy, cult, flashback, good versus evil, absurd, satire, comic, entertaining","comedy, comic",VKayG1TrfuE,train
175,tt0071315,1974,Chinatown,130,Drama,Drama,Mystery,Thriller,"comedy, dark, depressing, murder, neo noir, mystery, bleak, cult, violence, plot twist, atmospheric, humor, suspenseful","comedy, dark, depressing, mystery, violence, atmospheric, humor, suspenseful",Zh4BCgDLmmI,train
176,tt0071402,1974,Death Wish,93,Drama,Action,Crime,Drama,"revenge, cult, neo noir, murder, violence",violence,9Xm3GINdMV4,train
177,tt0071455,1974,Earthquake,122,Action,Action,Drama,Thriller,"comedy, suspenseful, murder, cult, melodrama, revenge","comedy, suspenseful",yV88FanNJlU,train
178,tt0071569,1973,The Golden Voyage of Sinbad,105,Action,Action,Adventure,Fantasy,"good versus evil, cult, action",action,3qrRSQ7ZJE8,train
179,tt0071853,1975,Monty Python and the Holy Grail,91,Comedy,Adventure,Comedy,Fantasy,"comedy, murder, cult, violence, psychedelic, absurd, satire, humor, entertaining","comedy, violence, humor",RDM75-oXGmQ,train
181,tt0071994,1974,Phantom of the Paradise,91,Comedy,Comedy,Drama,Fantasy,"dark, comedy, cruelty, gothic, murder, cult, violence, tragedy, revenge","dark, comedy, violence",2n5qVJEg3qA,train
182,tt0072288,1974,Thunderbolt and Lightfoot,115,Comedy,Comedy,Crime,Drama,"violence, comedy","violence, comedy",m7KVPZcDoLo,train
183,tt0072684,1975,Barry Lyndon,185,Drama,Adventure,Drama,War,"boring, cruelty, atmospheric, melodrama","boring, atmospheric",nr3afTny9PQ,train
185,tt0072890,1975,Dog Day Afternoon,125,Crime,Biography,Crime,Drama,"comedy, atmospheric","comedy, atmospheric",CZHS7zexXlU,train
186,tt0073018,1975,French Connection 2,119,Action,Action,Crime,Drama,neo noir,,BK10bJ3rSjQ,train
187,tt0073195,1975,Jaws,124,Horror,Adventure,Horror,,"horror, cult, suspenseful, violence, prank","horror, suspenseful, violence",0zkYRD51I34,train
188,tt0073440,1975,Nashville,160,Drama,Comedy,Drama,Music,"tragedy, humor, satire, atmospheric","humor, atmospheric",QZGpaVZdGlo,train
189,tt0073486,1975,One Flew Over the Cuckoo's Nest,133,Drama,Drama,,,"psychological, depressing, dramatic, cult, violence, insanity, satire, claustrophobic, sadist, sentimental","depressing, dramatic, violence, sadist, sentimental",FrDQ5hz7H7w,train
190,tt0073540,1975,Picnic at Hanging Rock,115,Drama,Drama,Mystery,,"mystery, historical, boring, flashback","mystery, boring",x05QuAhpq6o,train
191,tt0073812,1975,Tommy,111,Drama,Drama,Musical,,"cult, humor, psychedelic, murder, boring","humor, boring",G4K_9WyQCgA,train
192,tt0074119,1976,All the President's Men,138,Drama,Drama,History,Thriller,"inspiring, suspenseful, mystery, historical, dramatic","inspiring, suspenseful, mystery, dramatic",LvyglNQguFk,train
194,tt0074256,1976,Bugsy Malone,93,Crime,Comedy,Crime,Family,"depressing, comic, flashback","depressing, comic",NOrgDbldcA4,train
195,tt0074285,1976,Carrie,98,Horror,Horror,Mystery,,"comedy, fantasy, cruelty, suspenseful, gothic, murder, paranormal, dark, cult, violence, horror, atmospheric, insanity, romantic, tragedy, revenge, sadist, prank","comedy, fantasy, suspenseful, dark, violence, horror, atmospheric, romantic, sadist",VSF6WVx_Tdo,train
196,tt0074455,1976,Eaten Alive,91,Horror,Horror,Thriller,,"grindhouse film, murder, cult, horror, violence, insanity","horror, violence",9cQGA5VRj50,train
197,tt0074512,1976,Family Plot,120,Drama,Comedy,Crime,Drama,"paranormal, suspenseful, murder",suspenseful,YVazwgLDFvI,train
199,tt0074860,1976,Marathon Man,125,Crime,Crime,Drama,Thriller,"suspenseful, murder, violence, horror, flashback, revenge","suspenseful, violence, horror",8WmlhEO2cU4,train
200,tt0074937,1976,Murder by Death,95,Comedy,Comedy,Crime,Mystery,"mystery, murder",mystery,mXn8CsQU1-U,train
201,tt0074958,1976,Network,121,Drama,Drama,,,"comedy, avant garde, murder, dramatic, suicidal, atmospheric, insanity, humor, satire, brainwashing","comedy, dramatic, atmospheric, humor",bX49yRksgPk,train
202,tt0074991,1976,Obsession,98,Drama,Drama,Mystery,Thriller,"violence, neo noir, flashback",violence,QCAt6E4wBEk,train
205,tt0075222,1976,Silent Movie,87,Comedy,Comedy,,,comedy,comedy,qfrQrLeD7Gw,train
206,tt0075223,1976,Silver Streak,114,Action,Action,Comedy,Crime,"cult, comedy, murder, violence","comedy, violence",4cyhBroQsNA,train
207,tt0075261,1976,Squirm,92,Horror,Horror,,,murder,,KyTpkR2cwLo,train
208,tt0075314,1976,Taxi Driver,114,Crime,Crime,Drama,,"dark, psychological, neo noir, murder, boring, cult, violence, atmospheric, insanity, romantic, revenge","dark, boring, violence, atmospheric, romantic",d07aBOLvmuI,train
209,tt0075648,1977,Airport '77,114,Action,Action,Drama,Thriller,"suspenseful, murder",suspenseful,gZUkfmBCsrE,train
210,tt0075860,1977,Close Encounters of the Third Kind,138,Drama,Drama,Sci-Fi,,"mystery, dramatic, humor","mystery, dramatic, humor",VPg4RgEapwo,train
211,tt0076009,1977,Exorcist II: The Heretic,117,Horror,Horror,,,cult,,ZEnaYHPDxyg,train
212,tt0076141,1977,High Anxiety,94,Comedy,Comedy,Mystery,Thriller,"paranormal, murder",,k-YgTlyt8Ek,train
213,tt0076451,1977,"New York, New York",155,Drama,Drama,Music,Musical,romantic,romantic,1ofQXnpgPFg,train
214,tt0076538,1977,Pete's Dragon,128,Action,Adventure > Action,Animation,Comedy,"action, entertaining, boring","action, boring",vUW0a_I3kxU,train
216,tt0076636,1977,Rollercoaster,119,Action,Action,Crime,Drama,"suspenseful, comedy, murder","suspenseful, comedy",mVSEQHbyL34,train
217,tt0076716,1977,Sinbad and the Eye of the Tiger,113,Action,Action,Adventure,Family,"good versus evil, revenge, cult",,gNOHaOd5BDQ,train
220,tt0077235,1978,Big Wednesday,120,Drama,Drama,Sport,,"cult, philosophical",,BEdOnf1JhF8,train
221,tt0077394,1978,Damien: Omen II,107,Horror,Horror,,,"good versus evil, violence, gothic, murder",violence,Az86iKhWAjk,train
222,tt0077402,1978,Dawn of the Dead,127,Horror,Horror,Thriller,,"comedy, suspenseful, grindhouse film, murder, cult, horror, violence, good versus evil, absurd, action, satire, claustrophobic, revenge, entertaining, sadist","comedy, suspenseful, horror, violence, action, sadist",R6W8-Frq5f4,train
223,tt0077405,1978,Days of Heaven,94,Romance,Drama,Romance,,"tragedy, boring, murder, atmospheric","boring, atmospheric",XVbg9xc7tGc,train
224,tt0077413,1978,Death on the Nile,140,Crime,Crime,Drama,Mystery,"mystery, murder",mystery,zrbO9JjmWMc,train
225,tt0077523,1978,Every Which Way but Loose,114,Comedy,Action,Comedy,,"comedy, violence, prank","comedy, violence",aB0PFiL9QV0,train
226,tt0077572,1978,Force 10 from Navarone,118,Drama,Action,Drama,War,psychedelic,,W8IeyxgPpxY,train
227,tt0077578,1978,Foul Play,116,Comedy,Comedy,Mystery,Thriller,murder,,CQ3Vz8CV9bo,train
230,tt0077663,1978,Heaven Can Wait,101,Comedy,Comedy,Fantasy,Romance,murder,,EAQ828xEADw,train
231,tt0077742,1978,Interiors,92,Drama,Drama,,,depressing,depressing,lhphrzgPpaE,train
232,tt0077745,1978,Invasion of the Body Snatchers,115,Horror,Horror,Sci-Fi,,"horror, violence, humor, murder, flashback","horror, violence, humor",dCOtncsaU80,train
234,tt0077975,1978,National Lampoon's Animal House,109,Comedy,Comedy,,,"comedy, cult, satire, revenge, entertaining, prank",comedy,KWjtI6n5xWM,train
235,tt0078087,1978,Piranha,94,Horror,Comedy,Horror,Sci-Fi,"tragedy, cult, comedy, violence","comedy, violence",XoCKGvVlNYM,train
236,tt0078158,1978,Return from Witch Mountain,95,Action,Adventure > Action,Family,Fantasy,"paranormal, brainwashing",,WJ4Tx4Vq_K8,train
238,tt0078480,1978,Watership Down,91,Drama,Adventure,Animation,Drama,"allegory, violence, cult, atmospheric, psychedelic, romantic","violence, atmospheric, romantic",9S26LA8Bk14,train
239,tt0078721,1979,10,122,Romance,Comedy,Romance,,romantic,romantic,1_Csa25tMw4,train
240,tt0078723,1979,1941,118,Comedy,Action,Comedy,War,"absurd, cult, psychedelic, satire",,6_KOLqpo7z8,train
241,tt0078748,1979,Alien,117,Horror,Horror,Sci-Fi,,"dark, boring, gothic, murder, mystery, cult, violence, horror, atmospheric, action, claustrophobic, suspenseful, sci-fi","dark, boring, mystery, violence, horror, atmospheric, action, suspenseful",D3oC17nILkw,train
242,tt0078754,1979,All That Jazz,123,Drama,Drama,Music,Musical,"tragedy, comedy, flashback",comedy,C74Pae3PpMo,train
243,tt0078788,1979,Apocalypse Now,147,Drama,Drama,Mystery,War,"dark, boring, psychological, allegory, cult, violence, anti war, dramatic, insanity, psychedelic, action, suspenseful","dark, boring, violence, dramatic, action, suspenseful",_6B1Z_AEgCI,train
244,tt0078902,1979,Breaking Away,101,Comedy,Comedy,Drama,Sport,"inspiring, prank",inspiring,J1jzs6dk4bs,train
246,tt0079116,1979,Escape from Alcatraz,112,Action,Action,Biography,Crime,"suspenseful, violence","suspenseful, violence",j8c7vTZYVEw,train
247,tt0079261,1979,Hair,121,Drama,Comedy,Drama,Musical,"anti war, cult, romantic, flashback",romantic,JoQm4rEJNGs,train
248,tt0079285,1980,Saturn 3,88,Horror,Adventure,Horror,Sci-Fi,"violence, murder",violence,NENxIu02bvg,train
249,tt0079417,1979,Kramer vs. Kramer,105,Drama,Drama,,,dramatic,dramatic,jNLcfJ06y34,train
250,tt0079489,1979,Love at First Bite,96,Comedy,Comedy,Horror,,romantic,romantic,qCBCwCZJAmI,train
251,tt0079501,1979,Mad Max,88,Action,Action,Adventure,Sci-Fi,"suspenseful, murder, cult, violence, good versus evil, action, tragedy, revenge","suspenseful, violence, action",76jy3zJ9_PE,train
