,imdb_id,gt_labels,predicted_labels
18,tt0107387,"['violence', 'cult', 'comedy', 'suspenseful', 'horror']","['murder', 'violence', 'cult']"
19,tt0107473,"['romantic', 'neo noir']","['murder', 'cult', 'comedy']"
20,tt0107497,"['murder', 'revenge', 'neo noir', 'intrigue']","['murder', 'cult']"
21,tt0107756,"['psychedelic', 'historical']","['murder', 'violence', 'cult']"
22,tt0107983,"['murder', 'violence', 'cult', 'revenge', 'comedy', 'suspenseful', 'good versus evil', 'satire', 'neo noir', 'sadist', 'tragedy', 'cruelty', 'avant garde']",['cult']
23,tt0108162,"['murder', 'suspenseful', 'mystery']",['no pred']
24,tt0108171,"['violence', 'suspenseful']",['murder']
25,tt0108174,"['murder', 'romantic', 'cult', 'psychedelic', 'comedy', 'entertaining', 'insanity']",['no pred']
26,tt0108238,['murder'],['violence']
27,tt0108308,"['violence', 'cult', 'psychedelic']",['no pred']
28,tt0108330,['violence'],['no pred']
29,tt0108358,"['murder', 'violence', 'cult', 'suspenseful', 'realism']",['murder']
30,tt0108399,"['murder', 'violence', 'romantic', 'cult', 'comedy', 'action']",['no pred']
31,tt0108526,['psychedelic'],['no pred']
32,tt0108550,"['psychedelic', 'tragedy', 'boring', 'depressing', 'whimsical']",['no pred']
33,tt0109068,"['cult', 'comedy']",['no pred']
34,tt0109297,"['murder', 'neo noir', 'mystery']",['murder']
35,tt0109303,"['violence', 'flashback', 'cult', 'revenge', 'suspenseful', 'good versus evil', 'action']",['no pred']
36,tt0109439,['violence'],['no pred']
37,tt0109579,"['revenge', 'suspenseful', 'psychological']",['no pred']
38,tt0109758,"['romantic', 'comedy', 'sadist', 'pornographic']",['comedy']
39,tt0109842,"['murder', 'violence', 'revenge', 'neo noir', 'tragedy']","['murder', 'violence', 'cult']"
40,tt0110005,"['murder', 'violence', 'flashback', 'romantic', 'cult', 'revenge', 'psychedelic', 'insanity', 'fantasy', 'boring', 'melodrama', 'psychological', 'queer']",['cult']
41,tt0110027,"['violence', 'cult', 'good versus evil', 'action']","['murder', 'violence', 'cult']"
42,tt0110097,['satire'],['no pred']
43,tt0110167,"['romantic', 'comedy', 'feel-good']",['no pred']
44,tt0110265,"['murder', 'violence', 'cult']","['murder', 'cult']"
45,tt0110329,"['violence', 'cult', 'good versus evil']",['no pred']
46,tt0110598,"['cult', 'psychedelic', 'comedy', 'humor']",['no pred']
47,tt0110613,['home movie'],"['murder', 'cult', 'comedy']"
48,tt0110706,['cult'],['no pred']
49,tt0110759,['satire'],"['murder', 'violence', 'cult']"
50,tt0110882,"['murder', 'violence', 'revenge']",['no pred']
51,tt0110939,"['murder', 'cult', 'mystery']","['murder', 'violence', 'cult']"
52,tt0110950,"['romantic', 'cult']","['murder', 'violence', 'cult']"
53,tt0111149,"['murder', 'violence', 'flashback', 'romantic', 'psychedelic', 'comedy', 'insanity', 'cruelty', 'dark', 'atmospheric', 'home movie']","['murder', 'violence', 'cult']"
54,tt0111323,"['murder', 'violence', 'revenge', 'comedy', 'suspenseful', 'humor', 'suicidal']","['violence', 'cult']"
55,tt0111503,"['violence', 'psychedelic', 'comedy', 'entertaining', 'neo noir', 'action', 'mystery']","['murder', 'violence', 'cult']"
56,tt0111742,"['murder', 'cult', 'revenge', 'comedy', 'satire', 'gothic']","['murder', 'violence', 'cult']"
57,tt0111756,"['murder', 'violence', 'flashback', 'cult', 'historical']",['no pred']
58,tt0112281,"['cult', 'comedy', 'humor']",['no pred']
59,tt0112384,"['suspenseful', 'boring', 'mystery', 'dramatic', 'historical', 'claustrophobic']",['no pred']
60,tt0112401,"['murder', 'violence', 'romantic', 'revenge', 'suspenseful', 'neo noir', 'sadist']",['no pred']
61,tt0112462,"['murder', 'violence', 'flashback', 'revenge', 'comedy', 'good versus evil', 'action', 'insanity', 'atmospheric']",['no pred']
62,tt0112508,"['cult', 'comedy', 'entertaining', 'prank', 'stupid']",['no pred']
63,tt0112536,['violence'],['no pred']
64,tt0112641,"['murder', 'violence', 'cult', 'revenge', 'comedy', 'neo noir', 'sadist']",['murder']
65,tt0112681,"['murder', 'mystery']",['cult']
66,tt0112688,"['murder', 'violence']",['no pred']
67,tt0112851,"['violence', 'flashback', 'romantic', 'cult', 'revenge', 'comedy', 'good versus evil', 'humor', 'neo noir', 'action', 'mystery']",['cult']
68,tt0112857,"['murder', 'violence', 'suspenseful', 'neo noir', 'atmospheric', 'plot twist']","['murder', 'cult']"
69,tt0113114,['romantic'],['no pred']
70,tt0113228,"['revenge', 'comedy', 'prank']",['cult']
71,tt0113243,"['cult', 'action', 'boring', 'sci-fi', 'prank', 'pornographic']","['murder', 'violence', 'cult']"
72,tt0113443,['queer'],['no pred']
73,tt0113617,"['flashback', 'comedy']",['no pred']
74,tt0113677,"['flashback', 'romantic', 'cult', 'satire']",['no pred']
75,tt0113729,"['romantic', 'insanity']",['murder']
76,tt0114011,"['flashback', 'paranormal']",['romantic']
77,tt0114069,"['romantic', 'suspenseful']",['no pred']
78,tt0114168,"['flashback', 'romantic', 'cult', 'revenge']",['no pred']
79,tt0114279,"['murder', 'tragedy']","['murder', 'cult']"
80,tt0114323,"['psychedelic', 'allegory']",['no pred']
81,tt0114550,"['violence', 'anti war']","['murder', 'violence']"
82,tt0114709,"['violence', 'cult', 'comedy', 'humor', 'entertaining', 'fantasy', 'cute', 'clever']",['no pred']
83,tt0114720,['cult'],['no pred']
84,tt0114781,"['murder', 'violence', 'revenge', 'comedy', 'action']",['no pred']
85,tt0114898,"['cult', 'sci-fi', 'stupid']",['no pred']
86,tt0115438,"['murder', 'violence', 'revenge', 'comedy', 'suspenseful', 'neo noir', 'suicidal']","['murder', 'cult']"
87,tt0115734,"['romantic', 'cult', 'psychedelic', 'humor']","['murder', 'violence', 'cult']"
88,tt0116126,"['flashback', 'cult', 'revenge', 'comedy', 'humor', 'satire']",['no pred']
89,tt0116253,"['murder', 'violence', 'flashback', 'revenge', 'suspenseful', 'mystery']",['no pred']
90,tt0116493,['flashback'],"['murder', 'violence', 'cult']"
91,tt0116508,"['murder', 'revenge', 'plot twist']",['murder']
92,tt0116683,"['cult', 'psychedelic', 'sadist', 'fantasy']",['no pred']
93,tt0116705,['comic'],['violence']
94,tt0116722,['tragedy'],['no pred']
